date,state,fips,cases,deaths,location,mmwr_week,administered,admin_per_100k,recip_administered,administered_dose1_recip,administered_dose1_pop_pct,series_complete_yes,series_complete_pop_pct,additional_doses,additional_doses_vax_pct
2020-03-01,Rhode Island,44,2,0,RI,,,,,,,,,,
2020-03-01,Washington,53,17,3,WA,,,,,,,,,,
2020-03-01,Utah,49,1,0,UT,,,,,,,,,,
2020-03-01,Wisconsin,55,1,0,WI,,,,,,,,,,
2020-03-01,Texas,48,11,0,TX,,,,,,,,,,
2020-03-01,Oregon,41,2,0,OR,,,,,,,,,,
2020-03-01,Florida,12,2,0,FL,,,,,,,,,,
2020-03-01,Nebraska,31,13,0,NE,,,,,,,,,,
2020-03-01,Massachusetts,25,1,0,MA,,,,,,,,,,
2020-03-01,Illinois,17,3,0,IL,,,,,,,,,,
2020-03-01,California,06,33,0,CA,,,,,,,,,,
2020-03-01,Arizona,04,1,0,AZ,,,,,,,,,,
2020-03-01,New York,36,1,0,NY,,,,,,,,,,
2020-03-02,New Hampshire,33,1,0,NH,,,,,,,,,,
2020-03-02,Georgia,13,2,0,GA,,,,,,,,,,
2020-03-03,North Carolina,37,1,0,NC,,,,,,,,,,
2020-03-04,New Jersey,34,1,0,NJ,,,,,,,,,,
2020-03-05,Tennessee,47,1,0,TN,,,,,,,,,,
2020-03-05,Maryland,24,3,0,MD,,,,,,,,,,
2020-03-05,Colorado,08,2,0,CO,,,,,,,,,,
2020-03-05,Nevada,32,2,0,NV,,,,,,,,,,
2020-03-06,Oklahoma,40,1,0,OK,,,,,,,,,,
2020-03-06,Pennsylvania,42,2,0,PA,,,,,,,,,,
2020-03-06,South Carolina,45,2,0,SC,,,,,,,,,,
2020-03-06,Kentucky,21,1,0,KY,,,,,,,,,,
2020-03-06,Hawaii,15,1,0,HI,,,,,,,,,,
2020-03-06,Indiana,18,1,0,IN,,,,,,,,,,
2020-03-06,Minnesota,27,1,0,MN,,,,,,,,,,
2020-03-07,Virginia,51,1,0,VA,,,,,,,,,,
2020-03-07,Vermont,50,1,0,VT,,,,,,,,,,
2020-03-07,Missouri,29,1,0,MO,,,,,,,,,,
2020-03-07,District of Columbia,11,1,0,DC,,,,,,,,,,
2020-03-07,Kansas,20,1,0,KS,,,,,,,,,,
2020-03-08,Connecticut,09,1,0,CT,,,,,,,,,,
2020-03-08,Iowa,19,3,0,IA,,,,,,,,,,
2020-03-09,Ohio,39,3,0,OH,,,,,,,,,,
2020-03-09,Louisiana,22,1,0,LA,,,,,,,,,,
2020-03-10,South Dakota,46,5,1,SD,,,,,,,,,,
2020-03-10,Michigan,26,2,0,MI,,,,,,,,,,
2020-03-11,North Dakota,38,1,0,ND,,,,,,,,,,
2020-03-11,New Mexico,35,4,0,NM,,,,,,,,,,
2020-03-11,Wyoming,56,1,0,WY,,,,,,,,,,
2020-03-11,Arkansas,05,1,0,AR,,,,,,,,,,
2020-03-11,Delaware,10,1,0,DE,,,,,,,,,,
2020-03-11,Mississippi,28,1,0,MS,,,,,,,,,,
2020-03-12,Alaska,02,1,0,AK,,,,,,,,,,
2020-03-12,Maine,23,1,0,ME,,,,,,,,,,
2020-03-13,Montana,30,4,0,MT,,,,,,,,,,
2020-03-13,Alabama,01,6,0,AL,,,,,,,,,,
2020-03-13,Idaho,16,1,0,ID,,,,,,,,,,
2020-03-17,West Virginia,54,1,0,WV,,,,,,,,,,
2020-04-01,Nebraska,31,249,5,NE,,,,,,,,,,
2020-04-01,Oklahoma,40,719,30,OK,,,,,,,,,,
2020-04-01,Nevada,32,1279,32,NV,,,,,,,,,,
2020-04-01,New Hampshire,33,415,4,NH,,,,,,,,,,
2020-04-01,New Jersey,34,22255,355,NJ,,,,,,,,,,
2020-04-01,New Mexico,35,363,6,NM,,,,,,,,,,
2020-04-01,New York,36,84364,2415,NY,,,,,,,,,,
2020-04-01,North Carolina,37,1591,11,NC,,,,,,,,,,
2020-04-01,North Dakota,38,147,3,ND,,,,,,,,,,
2020-04-01,Ohio,39,2548,65,OH,,,,,,,,,,
2020-04-01,Oregon,41,737,19,OR,,,,,,,,,,
2020-04-01,Texas,48,4402,65,TX,,,,,,,,,,
2020-04-01,Rhode Island,44,566,10,RI,,,,,,,,,,
2020-04-01,South Carolina,45,1293,26,SC,,,,,,,,,,
2020-04-01,South Dakota,46,129,1,SD,,,,,,,,,,
2020-04-01,Tennessee,47,2689,23,TN,,,,,,,,,,
2020-04-01,Utah,49,1012,7,UT,,,,,,,,,,
2020-04-01,Vermont,50,321,16,VT,,,,,,,,,,
2020-04-01,Virginia,51,1511,18,VA,,,,,,,,,,
2020-04-01,Washington,53,5589,250,WA,,,,,,,,,,
2020-04-01,West Virginia,54,191,2,WV,,,,,,,,,,
2020-04-01,Wisconsin,55,1552,33,WI,,,,,,,,,,
2020-04-01,Montana,30,219,5,MT,,,,,,,,,,
2020-04-01,Pennsylvania,42,5805,78,PA,,,,,,,,,,
2020-04-01,Missouri,29,1580,21,MO,,,,,,,,,,
2020-04-01,Wyoming,56,138,0,WY,,,,,,,,,,
2020-04-01,Minnesota,27,689,17,MN,,,,,,,,,,
2020-04-01,Alabama,01,1108,28,AL,,,,,,,,,,
2020-04-01,Alaska,02,143,2,AK,,,,,,,,,,
2020-04-01,Arizona,04,1413,29,AZ,,,,,,,,,,
2020-04-01,Arkansas,05,624,10,AR,,,,,,,,,,
2020-04-01,California,06,9857,212,CA,,,,,,,,,,
2020-04-01,Colorado,08,3346,80,CO,,,,,,,,,,
2020-04-01,Connecticut,09,3557,85,CT,,,,,,,,,,
2020-04-01,Delaware,10,368,11,DE,,,,,,,,,,
2020-04-01,District of Columbia,11,586,11,DC,,,,,,,,,,
2020-04-01,Florida,12,7769,100,FL,,,,,,,,,,
2020-04-01,Georgia,13,4747,154,GA,,,,,,,,,,
2020-04-01,Mississippi,28,1073,22,MS,,,,,,,,,,
2020-04-01,Idaho,16,669,9,ID,,,,,,,,,,
2020-04-01,Illinois,17,6978,146,IL,,,,,,,,,,
2020-04-01,Indiana,18,2578,80,IN,,,,,,,,,,
2020-04-01,Iowa,19,549,9,IA,,,,,,,,,,
2020-04-01,Kansas,20,489,11,KS,,,,,,,,,,
2020-04-01,Kentucky,21,674,20,KY,,,,,,,,,,
2020-04-01,Louisiana,22,6424,275,LA,,,,,,,,,,
2020-04-01,Maine,23,344,7,ME,,,,,,,,,,
2020-04-01,Maryland,24,1985,33,MD,,,,,,,,,,
2020-04-01,Massachusetts,25,7738,122,MA,,,,,,,,,,
2020-04-01,Michigan,26,9292,336,MI,,,,,,,,,,
2020-04-01,Hawaii,15,258,1,HI,,,,,,,,,,
2020-05-01,Nevada,32,5249,254,NV,,,,,,,,,,
2020-05-01,Oregon,41,2579,104,OR,,,,,,,,,,
