date,cases,deaths,mmwr_week,administered,admin_per_100k,recip_administered,administered_dose1_recip,administered_dose1_pop_pct,series_complete_yes,series_complete_pop_pct,additional_doses,additional_doses_vax_pct
0,153,4,,,,,,,,,,
1,214922,5310,,,,,,,,,,
2,1106958,64796,,,,,,,,,,
3,1816090,104963,,,,,,,,,,
4,2694397,127937,,,,,,,,,,
5,4608832,154676,,,,,,,,,,
6,6052469,184097,,,,,,,,,,
7,7255171,206962,,,,,,,,,,
8,9209410,230005,,,,,,,,,,
9,13703100,269379,,,,,,,,,,
10,20050927,346301,2703.0,3913744.0,12.88083491162664,0.0,0.0,0.0,0.0,0.0,,0.0
11,26224302,441257,255.0,30215726.0,91.08978897847048,0.0,0.0,0.0,0.0,0.0,,0.0
12,28535163,512208,459.0,75906246.0,240.89531674119704,75640766.0,49893769.0,0.16218581437324792,0.0,0.0,,0.0
13,30403149,550334,663.0,151638766.0,473.1843292293867,151130878.0,97956916.0,0.3054967415689105,55181012.0,0.17656114757310007,,0.0
14,32229325,573876,867.0,240185363.0,744.3045170484351,239455789.0,143737745.0,0.4607373491792929,101814016.0,0.3327850491819459,,0.0
15,33115320,592153,1122.0,291924299.0,902.5410876615994,291064257.0,165300876.0,0.5380368556758593,133558106.0,0.4367439708635026,,0.0
16,33517637,601971,1326.0,322407620.0,1012.0567300744509,321460624.0,177534304.0,0.5224230020554865,152789314.0,0.4527566295009851,,0.0
17,34846637,610220,1581.0,340289408.0,1057.0242630704527,339291428.0,187429250.0,0.5460270845578038,161403328.0,0.47343954150276985,,0.0
18,39305143,639370,1785.0,364585039.0,1090.0689743608455,363495420.0,201083588.0,0.626678043555468,171020790.0,0.5339458312312174,0.0,0.0
19,43345717,697002,1989.0,386249507.0,1146.8902605131877,385053459.0,209765156.0,0.6507265930792494,180861683.0,0.5600286332291335,0.0,0.0
20,45813410,743127,2244.0,414883220.0,1263.2265056957972,414092120.0,216912869.0,0.6744428208562916,188535605.0,0.5821779701284271,18948659.0,10.634384034879172
